timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,synthetic_time_ms,event,prediction_float,prediction_binary
323781566185600,8.437167,-3.86903,3.6296098,0.062308256,-0.02443461,0.021991149,0,,0.014663683,0.0
323781586208600,8.449138,-3.7684734,3.6942532,0.0,-0.009773844,0.015882496,20,,0.014663683,0.0
323781606246946,8.494628,-3.7660792,3.5865142,-0.05009095,0.018325957,0.0036651916,40,,0.014663683,0.0
323781626286253,8.408437,-3.8019924,3.6535518,-0.057421334,0.039095376,0.0,60,,0.014663683,0.0
323781646331330,8.3629465,-3.7612908,3.5817258,-0.06841691,0.047647487,0.007330383,80,,0.014663683,0.0
323781666352561,8.367735,-3.8594532,3.6128504,-0.089186326,0.058643065,0.012217305,100,,0.014663683,0.0
323781686365984,8.243237,-4.0054994,3.5194764,-0.010995574,0.04153884,0.0,120,,0.014663683,0.0
323781706387369,8.420407,-3.8905778,3.53863,0.036651913,0.012217305,-0.009773844,140,,0.014663683,0.0
323781726401599,8.37013,-3.9240966,3.4356794,0.008552114,0.017104227,-0.015882496,160,,0.014663683,0.0
323781746413984,8.396465,-3.9815574,3.514688,-0.014660766,0.02443461,-0.009773844,180,,0.014663683,0.0
323781766424599,8.248025,-4.0414124,3.4955344,0.017104227,0.013439035,0.002443461,200,,0.014663683,0.0
323781786447176,8.274361,-4.003105,3.5362358,0.040317107,-0.0036651916,0.004886922,220,,0.014663683,0.0
323781806465714,8.312668,-3.9504328,3.5745432,0.04520403,-0.013439035,0.008552114,240,,0.014663683,0.0
323781826492407,8.470686,-3.904943,3.5889084,0.002443461,-0.0036651916,0.004886922,260,,0.014663683,0.0
323781846512637,8.3868885,-3.8187518,3.5051112,-0.058643065,0.010995574,-0.002443461,280,,0.014663683,0.0
323781866530522,8.310274,-3.9863458,3.5577838,-0.07819075,0.030543262,0.0012217305,300,,0.014663683,0.0
323781886538099,8.281544,-4.024653,3.4620156,-0.017104227,0.02443461,0.008552114,320,,0.014663683,0.0
323781906550945,8.420407,-3.8067808,3.5793316,0.0061086523,-0.004886922,0.014660766,340,,0.014663683,0.0
323781926566983,8.257602,-3.9504328,3.3854012,-0.081855945,0.002443461,-0.015882496,360,,0.014663683,0.0
323781946579791,8.585608,-4.197036,3.4284968,-0.12583824,0.036651913,-0.0012217305,380,,0.014663683,0.0
323781966597137,8.65025,-4.1252093,3.9025488,-0.27122417,0.12339478,0.035430185,400,,0.014663683,0.0
323781986607175,8.676587,-4.3023806,4.3837833,-0.43982297,0.22724187,0.07941248,420,,0.014663683,0.0
323782006616790,8.571242,-4.158728,4.4819455,-0.46914452,0.32742378,0.10751228,440,,0.014663683,0.0
323782026625367,8.317456,-4.2904096,4.2161894,-0.5571091,0.39461896,0.13194689,460,,0.014663683,0.0
323782046639444,8.197746,-4.3287168,4.429273,-0.53878313,0.40194935,0.14172074,480,,0.014663683,0.0
323782066656559,8.628703,-3.6343982,4.7979803,-0.5522222,0.5131268,0.15149458,500,,0.014663683,0.0
323782086675944,8.180987,-3.691859,4.201824,-0.73548174,0.6780604,0.09285152,520,,0.014663683,0.0
323782106687752,7.943961,-3.9193082,4.1180267,-0.86254174,0.7244862,0.04642576,540,,0.014663683,0.0
323782126699290,7.690176,-3.9600096,3.964798,-0.8454375,0.68416905,0.008552114,560,,0.014663683,0.0
323782146707482,7.5944076,-4.084508,4.2161894,-0.64996064,0.6010914,-0.040317107,580,,0.014663683,0.0
323782166716251,7.651869,-3.8498764,4.2161894,-0.26511553,0.4801401,-0.14538592,600,,0.014663683,0.0
323782186729751,7.565677,-3.8043866,3.9791632,-0.09773844,0.38973203,-0.2321288,620,,0.014663683,0.0
323782206746828,7.5584946,-3.98874,3.739743,-0.04642576,0.29565877,-0.2724459,640,,0.014663683,0.0
323782226767328,7.6829934,-4.1036615,3.7828386,-0.008552114,0.21746802,-0.30543262,660,,0.014663683,0.0
323782246776751,7.929596,-4.3766007,3.7469256,0.039095376,0.14538592,-0.31764993,680,,0.014663683,0.0
323782266780328,8.355764,-4.5058875,4.0653543,0.16493362,0.119729586,-0.32620203,700,,0.014663683,0.0
323782286856405,8.310274,-4.498705,3.7804444,0.29932398,0.096516706,-0.34330627,720,,0.014663683,0.0
323782306863751,8.11395,-4.525041,3.4644098,0.3200934,0.080634214,-0.32742378,740,,0.014663683,0.0
323782326874251,8.267179,-4.781221,3.667917,0.27122417,0.05009095,-0.24801129,760,,0.014663683,0.0
323782346886751,8.176199,-4.697424,3.7541082,0.12950343,0.07941248,-0.12705997,780,,0.014663683,0.0
323782366898943,8.171411,-4.831499,3.7565024,0.03176499,0.09285152,-0.029321533,800,,0.014663683,0.0
323782386920404,8.080431,-4.7261543,3.7948096,0.1001819,0.09407325,0.05497787,820,,0.014663683,0.0
323782406912789,7.9870567,-4.546589,3.7086184,0.28955013,0.062308256,0.087964594,840,,0.014663683,0.0
323782426926635,7.8625584,-4.4580035,3.763685,0.3371976,0.05131268,0.0842994,860,,0.014663683,0.0
323782446941404,7.747637,-4.295198,3.821146,0.27977628,0.043982297,0.10140363,880,,0.014663683,0.0
323782466965981,7.7787614,-4.197036,3.8714242,0.10262536,0.028099801,0.11484267,900,,0.014663683,0.0
323782486989942,7.747637,-4.1683054,3.8977604,-0.009773844,0.04520403,0.10262536,920,,0.0062471093,0.0
323782507011596,7.620744,-3.9863458,3.7205894,0.002443461,0.029321533,0.08307768,940,,0.0062471093,0.0
323782527028327,7.7213006,-3.928885,4.0318356,0.03176499,-0.010995574,0.04886922,960,,0.0062471093,0.0
323782547044019,7.750031,-3.8857894,4.0557775,0.035430185,-0.034208454,0.018325957,980,,0.0062471093,0.0
323782567059019,7.819463,-3.98874,4.0677485,-0.008552114,-0.06352998,0.017104227,1000,,0.0062471093,0.0
323782587076634,7.9032598,-3.9671922,4.120421,-0.043982297,-0.07574729,0.02321288,1020,,0.0062471093,0.0
323782607094865,7.85777,-3.9815574,3.9935284,0.004886922,-0.095294975,0.02443461,1040,,0.0062471093,0.0
323782627109942,7.965509,-3.9193082,4.0438066,0.0720821,-0.13316862,0.017104227,1060,,0.0062471093,0.0
323782647125173,8.039729,-3.8307228,4.225766,0.065973446,-0.14294247,-0.002443461,1080,,0.0062471093,0.0
323782667146134,8.025364,-4.0222588,4.285621,0.009773844,-0.13072516,-0.002443461,1100,,0.0062471093,0.0
323782687156326,8.080431,-3.9863458,4.2521024,-0.009773844,-0.119729586,0.008552114,1120,,0.0062471093,0.0
323782707166672,8.056489,-4.0821137,4.1299977,-0.04642576,-0.10873401,0.012217305,1140,,0.0062471093,0.0
