timestamp,x,y,z
88195557365381,-2.719813,-9.619903,-1.6400281
88195577369342,-2.7030537,-9.299079,-1.7046716
88195597372688,-2.7030537,-9.0476885,-1.7669208
88195617381034,-2.767697,-9.334992,-2.0231004
88195639398150,-2.8323407,-9.112331,-2.0470424
88195657396611,-2.7030537,-9.351752,-1.7118542
88195677397842,-2.767697,-9.55047,-1.6208745
88195697408149,-2.5881321,-9.270349,-1.5873557
88195717428265,-2.6048915,-9.31105,-1.7501614
88195737452380,-2.731784,-9.519346,-1.8602947
88195757474111,-2.7605145,-9.68694,-1.970428
88195777481265,-2.7461493,-9.799467,-1.946486
88195799534957,-2.7605145,-9.414001,-1.5777789
88195817609341,-2.719813,-9.385271,-1.5849615
88195837677226,-2.6623523,-8.913613,-1.4197617
88195857736149,-2.5474305,-9.0429,-1.6089035
88195877791264,-2.719813,-9.186552,-1.745373
88195897841995,-2.7030537,-9.356541,-1.7717092
88195917891995,-2.7126305,-9.32781,-1.5275006
88195937930610,-2.719813,-9.227253,-1.5155296
88195959980495,-2.6623523,-9.481039,-1.6112977
88195978006418,-2.707842,-9.52174,-1.4772224
88195998031456,-2.779668,-9.830592,-1.7621324
88196018055379,-2.8491,-9.100361,-1.9680338
88196038076840,-2.6144683,-9.909601,-1.757344
88196058097840,-2.846706,-8.942344,-1.5346833
88196078107302,-2.5713725,-9.284714,-1.5849615
88196098117648,-2.791639,-9.382876,-1.769315
88196120150186,-2.9520507,-9.392453,-1.9033904
88196138169840,-2.858677,-9.7563715,-1.7764976
88196158177802,-2.695871,-9.411607,-1.376666
88196178188878,-2.5139117,-9.059659,-1.4676456
88196198195340,-2.719813,-9.150639,-1.7166426
88196218211071,-2.7389667,-9.354146,-2.0159178
88196238236570,-2.669535,-9.91439,-1.7381904
88196258259801,-2.6479871,-9.440337,-1.757344
88196280289686,-2.5833437,-9.234436,-1.661576
88196298311378,-2.7341783,-9.279925,-1.934515
88196318319916,-2.6144683,-9.306262,-1.7262194
88196338327262,-2.755726,-9.32781,-1.4269443
88196358335070,-2.6791117,-9.421184,-1.4149733
88196378338916,-2.6767175,-9.631873,-1.5155296
88196398345608,-2.6910827,-9.49301,-1.436521
88196418349262,-2.7222073,-9.449914,-1.7190368
88196440374647,-2.7988217,-9.296685,-1.7645266
88196458390262,-2.731784,-9.433155,-1.6663644
88196478400723,-2.791639,-9.409213,-1.6424223
88196498419839,-2.6910827,-9.375694,-1.7645266
88196518427954,-2.6479871,-9.40203,-1.472434
88196538443839,-2.8203697,-9.392453,-1.5107412
88196558458185,-2.8874073,-9.248801,-1.4341269
88196578473108,-2.6479871,-9.536105,-1.3455414
88196600498261,-2.7269957,-9.038112,-1.6759412
88196618498646,-2.741361,-9.655815,-1.6567876
88196638490530,-2.717419,-9.346964,-1.6065093
88196658485838,-2.7748797,-9.751583,-1.910573
88196678507146,-2.7700913,-9.057265,-1.8124107
88196698498723,-2.7605145,-9.289502,-1.7238252
88196718481069,-2.753332,-9.141062,-1.733402
88196738464530,-2.8538885,-9.871294,-1.496376
88196760466492,-2.753332,-9.557653,-1.4341269
88196778458607,-2.7724855,-9.009381,-1.3599066
88196798444799,-2.6479871,-8.937555,-1.6184803
88196818431530,-2.6671407,-9.730036,-1.8387469
88196838427030,-2.741361,-9.516952,-1.553837
88196858414222,-2.528277,-9.397242,-1.5059528
88196878407299,-2.80361,-9.160215,-1.6017209
88196898399183,-2.6120741,-9.200917,-1.7860745
88196920400876,-2.669535,-9.244013,-1.99437
88196938455914,-2.6551697,-9.425972,-1.7908629
88196958551375,-2.5737667,-9.315839,-1.6089035
88196978636798,-2.5498247,-9.232041,-1.2880806
88196998729144,-2.6168625,-9.215282,-1.412579
88197018786183,-2.6527755,-9.531317,-1.7022774
88197038772221,-2.669535,-9.758766,-1.5825673
88197058757106,-2.6527755,-9.689334,-1.6208745
88197080797221,-2.779668,-9.344569,-1.7381904
88197098787798,-2.8203697,-9.169792,-1.7597382
88197118881759,-2.789245,-9.270349,-1.7381904
88197138973490,-2.6862943,-9.217676,-1.7932571
88197159063644,-2.705448,-9.375694,-1.6065093
88197179143759,-2.8514943,-9.291897,-1.4987702
88197199226298,-2.731784,-9.069236,-1.5729905
88197219287144,-2.6743233,-9.564836,-1.4772224
88197241392759,-2.6839,-9.555259,-1.3000516
88197259473028,-2.6120741,-9.509769,-1.5227122
88197279555490,-2.8179753,-9.471462,-1.6663644
88197299646451,-2.4420857,-9.088389,-1.8746599
88197319725066,-2.930503,-9.440337,-1.99437
88197339804874,-2.7030537,-9.703699,-1.7908629
88197359893412,-2.6839,-9.330204,-1.673547
88197379968720,-2.6503813,-9.387665,-1.3718776
88197402082528,-2.695871,-9.01417,-1.3814543
88197420173681,-2.7341783,-9.263166,-1.7501614
88197440272835,-2.7724855,-9.67018,-1.9201498
88197460261412,-2.8898015,-9.655815,-1.6783354
88197480252912,-2.7222073,-9.112331,-1.3670892
88197500250566,-2.7844565,-9.346964,-1.6998832
88197520240758,-2.908955,-9.555259,-1.922544
88197540287219,-2.789245,-9.591172,-1.3934253
88197562352258,-2.5785553,-9.186552,-1.448492
88197580345065,-2.6431987,-8.868123,-1.4508862
88197600331796,-2.6551697,-8.748413,-1.7381904
88197620362834,-2.6527755,-9.495404,-1.6807296
88197640360027,-2.6024973,-9.8042555,-1.4772224
88197660409642,-2.4636335,-9.588778,-1.1540052
88197680499719,-2.585738,-9.655815,-1.115698
88197700585719,-2.825158,-9.730036,-1.3982137
88197722666411,-2.6647465,-9.730036,-1.4101849
88197740748257,-2.755726,-9.607931,-1.436521
88197760841795,-2.6671407,-9.76116,-1.2282255
88197780889103,-2.6599581,-9.562442,-1.1324574
88197800891603,-2.791639,-9.193734,-1.436521
88197820983718,-2.89459,-9.203311,-1.8028339
88197841081757,-2.956839,-8.954314,-1.8100165
88197861094910,-3.0023289,-8.9998045,-1.9776106
88197883131603,-2.8754363,-9.229648,-1.757344
88197901203295,-2.837129,-9.160215,-1.7884687
88197921290333,-2.695871,-9.291897,-1.520318
88197941367910,-2.7581203,-9.196129,-1.4867992
88197961436372,-2.7269957,-9.021352,-1.5179238
88197981510679,-2.9520507,-9.425972,-1.9393034
88198001592871,-2.8107927,-9.734824,-1.7788919
88198021682064,-2.7126305,-9.665392,-1.4437037
88198043798871,-2.8107927,-9.279925,-1.7764976
88198061873679,-2.7844565,-9.296685,-1.6519991
88198081959794,-2.6527755,-9.368511,-1.3958195
88198102041486,-2.6144683,-9.428367,-1.5634137
88198122124409,-2.693477,-9.416395,-1.5729905
88198142208871,-2.7246015,-9.593566,-1.6232687
88198162285332,-2.767697,-9.184157,-1.3670892
88198182349986,-2.6312277,-9.323022,-1.4891934
88198204472371,-2.861071,-9.44752,-1.8531121
88198222538755,-3.0310593,-9.354146,-1.982399
88198242631447,-2.7844565,-9.109938,-1.721431
88198262726909,-2.731784,-9.334992,-1.9871874
88198282830101,-2.813187,-9.351752,-2.1883004
88198302925909,-2.8874073,-9.339781,-2.3654714
88198323012101,-2.8754363,-9.126697,-2.315193
88198343096986,-2.7150247,-9.200917,-2.1811178
88198365206947,-2.621651,-9.188946,-2.087744
88198383276832,-2.645593,-9.150639,-2.1452048
88198403348024,-2.7006595,-9.284714,-2.2361844
88198423430793,-2.72939,-9.387665,-2.1883004
88198443511831,-2.8107927,-9.263166,-2.5953147
88198463600947,-2.9041667,-9.284714,-2.5091233
88198483684293,-2.6910827,-9.205706,-2.171541
88198503765177,-2.7461493,-9.210494,-2.1188686
