timestamp,x,y,z
177017287198799,0.18195933,-0.12928689,9.722853
177017307230068,0.18674773,-0.1316811,9.76116
177017327272222,0.18914193,-0.093373865,9.816227
177017347310414,0.17238252,-0.14844051,9.825804
177017367352029,0.20829555,-0.045489833,9.725247
177017387379644,0.25857377,-0.16759412,9.825804
177017409423337,0.15562311,-0.22505496,9.89763
177017427443683,0.18435353,-0.107739076,9.892841
177017447473644,0.17238252,-0.04309563,9.773131
177017467500029,0.19153613,-0.18674773,9.842564
177017487516529,0.14604631,-0.08379706,9.765948
177017507536644,0.15562311,-0.059855044,9.725247
177017527555221,0.18674773,-0.19632454,9.749189
177017547564644,0.21308395,-0.14844051,9.725247
177017569600490,0.1604115,-0.19632454,9.821015
177017587626644,0.17956513,-0.16759412,9.7563715
177017607651990,0.14844051,-0.16280572,9.674969
177017627678220,0.18674773,-0.16519992,9.739613
177017647696913,0.11252748,-0.16998832,9.710882
177017667715259,0.15562311,-0.20111294,9.809045
177017687731182,0.16280572,-0.045489833,9.646238
177017707744374,0.1316811,-0.16998832,9.665392
177017729781182,0.1436521,-0.22266077,9.794679
177017747801835,0.10055647,-0.14844051,9.828198
177017767854335,0.08379706,-0.08619126,9.703699
177017787902489,0.14604631,-0.23223756,9.768343
177017807923489,0.19632454,-0.1412579,9.710882
177017827949527,0.23463176,-0.10055647,9.653421
177017847983335,0.18195933,-0.1436521,9.672575
177017868024681,0.19153613,-0.1316811,9.753978
177017890088719,0.14844051,-0.12928689,9.720459
177017908121989,0.14604631,-0.22744916,9.730036
177017928153950,0.12210429,-0.107739076,9.739613
177017948187758,0.1316811,-0.1316811,9.713276
177017968220796,0.14844051,-0.1340753,9.775525
177017988241988,0.15801731,-0.17477672,9.753978
177018008249142,0.16280572,-0.19153613,9.799467
177018028361296,0.1340753,-0.08619126,9.682152
177018050486950,0.11971009,-0.17477672,9.694122
177018068575142,0.21308395,-0.23463176,9.672575
177018088663219,0.1316811,-0.15801731,9.696517
177018108737372,0.12210429,-0.11971009,9.739613
177018128799488,0.21068975,-0.11252748,9.770737
177018148871180,0.1316811,-0.19632454,9.775525
177018168945988,0.1388637,-0.1316811,9.799467
177018189013026,0.10295067,-0.18674773,9.749189
177018211118680,0.12689269,-0.079008654,9.749189
177018229192410,0.17477672,-0.1316811,9.775525
177018249270218,0.18435353,-0.21547815,9.813833
177018269337256,0.19153613,-0.21787235,9.825804
177018289406872,0.19153613,-0.16280572,9.703699
177018309478525,0.19153613,-0.050278235,9.734824
177018329547910,0.15083471,-0.21787235,9.706094
177018349617218,0.18195933,-0.21787235,9.725247
177018371700948,0.19871874,-0.18914193,9.667787
177018389768256,0.22505496,-0.22744916,9.730036
177018409826487,0.20111294,-0.36631286,9.840169
177018429871756,0.1412579,-0.30885202,9.849746
177018449923717,0.20829555,-0.16998832,9.837775
177018469977217,0.17956513,-0.18914193,9.8042555
177018490020294,0.1604115,-0.17238252,9.837775
177018510068486,0.107739076,-0.10295067,9.787497
177018532133909,0.15083471,-0.076614454,9.746795
177018550173217,0.1316811,-0.1364695,9.7563715
177018570221563,0.1340753,-0.20111294,9.818622
177018590271871,0.11971009,-0.1388637,9.6845455
177018610322563,0.15083471,-0.18195933,9.720459
177018630379332,0.055066638,-0.25139117,9.854534
177018650434332,0.062249243,-0.2753332,9.883265
177018670477293,0.047884032,-0.18674773,9.7084875
177018692545755,0.10295067,-0.17956513,9.753978
177018710576639,0.090979666,-0.2801216,9.799467
177018730608755,0.15322891,-0.2705448,9.763555
177018750654947,0.12210429,-0.16280572,9.770737
177018770703678,-0.0023942017,-0.21787235,9.7803135
177018790754024,0.04309563,-0.32321724,9.753978
177018810807677,0.08619126,-0.15801731,9.7324295
177018830851985,0.093373865,-0.18435353,9.6845455
177018852927793,0.06943185,-0.24899697,9.763555
177018870970254,0.079008654,-0.31603462,9.734824
177018891017946,0.09816227,-0.19871874,9.67018
177018911053600,0.0047884034,-0.21787235,9.78989
177018931092254,0.009576807,-0.2896984,9.787497
177018951137638,0.0023942017,-0.17956513,9.80665
177018971196869,0.011971008,-0.24420857,9.725247
177018991218677,-0.050278235,-0.18435353,9.725247
177019013280907,-0.011971008,-0.11492168,9.811439
177019031304946,0.02873042,-0.272939,9.866506
177019051332907,-0.10055647,-0.1388637,9.8042555
