timestamp,x,y,z
152244046957632,-3.6056678,-6.4978633,-4.036624
152244066950401,-3.6343982,-7.716512,-3.8402996
152244087952324,-4.06296,-7.1969705,-4.5034933
152244108976209,-4.4843397,-7.762002,-5.00867
152244126971363,-4.537012,-7.455544,-5.08289
152244146967363,-4.345476,-6.9767036,-4.7165775
152244166965093,-4.465186,-7.192182,-4.7022123
152244186965824,-4.3981485,-7.40766,-4.5872903
152244206964939,-4.4460325,-7.192182,-4.560954
152244226996208,-4.357447,-7.3190746,-4.6495395
152244248091747,-4.209007,-7.338228,-4.5633483
152244268188593,-4.537012,-7.6853876,-4.8362875
152244287270016,-4.5178585,-8.145074,-4.570531
152244307349400,-4.5274353,-7.9990277,-4.6471453
152244327430400,-4.132392,-7.548918,-4.185065
152244347506516,-4.1635165,-7.4507556,-4.096479
152244367600746,-4.0916905,-7.740454,-4.525041
152244387689977,-4.390966,-7.9870567,-4.8362875
152244408789015,-4.247314,-7.587225,-5.068525
152244429900208,-4.1276035,-7.2927384,-4.6232033
152244447959515,-4.197036,-7.4723034,-4.271256
152244468041977,-4.3239284,-7.606379,-4.345476
152244488117515,-4.5418005,-7.872135,-4.697424
152244508199015,-4.450821,-7.3071036,-5.121197
152244528280092,-4.429273,-7.1634517,-5.279215
152244548354092,-4.4843397,-7.3525934,-4.951209
152244569444092,-4.27365,-7.7691846,-4.321534
152244589527092,-4.3143516,-7.809886,-4.2066126
152244608603515,-4.4603977,-7.9487495,-4.1012673
152244628693938,-4.4460325,-7.9032598,-4.1683054
152244648775514,-4.309563,-7.589619,-4.2066126
152244668848091,-4.522647,-7.393295,-4.4556093
152244688923860,-4.122815,-6.7253127,-4.378995
152244709013283,-4.357447,-7.639898,-4.939238
152244730080745,-4.0892963,-7.541735,-4.5561657
152244751182629,-4.4436383,-7.905654,-5.2480903
152244769256322,-4.31914,-7.6470804,-4.855441
152244789328937,-4.189853,-8.267179,-4.1706996
152244809408668,-4.4077253,-7.678205,-3.8762126
152244829488629,-4.3478703,-7.1969705,-4.132392
152244849572360,-3.8067808,-7.0844426,-3.8307228
152244869648706,-4.331111,-7.821857,-3.763685
152244890744090,-4.4963107,-8.604761,-4.177882
152244910822090,-4.4843397,-8.568848,-4.4603977
152244929891436,-4.5537715,-8.295909,-4.2999864
152244949967090,-4.4220905,-8.030152,-4.1156325
