timestamp,x,y,z
152244046960171,-0.37751472,0.02321288,0.23579398
152244066952709,-0.6621779,0.14294247,0.20158553
152244087954901,-0.6426302,0.18936823,0.13805555
152244108978517,-0.5558874,0.10629055,0.105068825
152244126973940,-0.24678956,0.0061086523,0.037873644
152244146969670,-0.14538592,-0.039095376,-0.0061086523
152244166967670,-0.118507855,-0.030543262,-0.06841691
152244186968170,-0.13561209,-0.018325957,-0.062308256
152244206967516,-0.13927728,-0.043982297,-0.0720821
152244226998555,-0.27488935,-0.019547688,-0.08307768
152244248094324,-0.4569272,0.018325957,-0.04642576
152244268190901,-0.49968776,0.032986723,-0.035430185
152244287272593,-0.07574729,0.018325957,-0.04153884
152244307351708,0.25411993,-0.080634214,0.030543262
152244327432977,0.34697145,-0.02687807,0.065973446
152244347508823,0.29932398,0.05131268,0.07086037
152244367603285,0.1966986,0.12461651,0.05497787
152244387692323,0.45937067,0.087964594,0.013439035
152244408791592,0.57910025,-0.018325957,0.042760566
152244429902554,0.41050145,-0.030543262,0.018325957
152244447962092,0.22113322,0.007330383,0.0061086523
152244468044323,-0.012217305,0.09285152,0.039095376
152244488120092,0.02076942,0.10751228,0.014660766
152244508201361,-0.012217305,0.080634214,0.008552114
152244528282669,-0.1441642,0.036651913,-0.017104227
152244548356399,-0.12217305,-0.047647487,-0.06963864
152244569446669,-0.02565634,-0.10262536,-0.05375614
152244589531361,-0.030543262,-0.057421334,0.009773844
152244608606092,-0.09285152,-0.010995574,0.04642576
152244628696245,-0.07819075,-0.028099801,0.09773844
152244648778091,0.030543262,-0.002443461,0.06963864
152244668850399,0.008552114,-0.018325957,0.047647487
152244688926437,-0.040317107,0.037873644,0.039095376
152244709015630,0.065973446,0.047647487,0.004886922
152244730083322,0.41905355,-0.039095376,-0.058643065
152244751184937,0.6817256,-0.08674286,-0.059864793
152244769258899,0.5705481,-0.13072516,-0.10873401
152244789331283,0.39461896,-0.040317107,-0.05375614
152244809411245,0.55833083,-0.05131268,-0.043982297
152244829490937,0.35063666,-0.1001819,-0.037873644
152244849574937,-0.204029,-0.035430185,-0.039095376
152244869651014,-0.60231316,0.10629055,-0.040317107
152244890746667,-0.42760566,0.09896017,-0.018325957
152244910824398,-0.05009095,0.043982297,0.017104227
152244929894013,0.12461651,-0.0036651916,0.040317107
152244949969436,0.17592919,0.004886922,0.07819075
152244970038744,-0.007330383,0.05375614,0.1001819
152244990102782,-0.14660765,0.07452556,0.12095132
152245010171782,-0.062308256,0.073303826,0.118507855
152245030230398,-0.010995574,0.04642576,0.089186326
152245051298282,-0.07696902,0.0012217305,0.08307768
152245072377897,-0.13683382,-0.017104227,0.064751714
152245090435474,-0.06719518,-0.04153884,0.07086037
152245110504551,0.1282817,-0.07452556,0.065973446
152245130574590,0.10751228,-0.087964594,0.036651913
152245150644628,-0.05497787,-0.09773844,0.017104227
152245170710128,-0.1600467,-0.09285152,-0.02443461
152245190771551,-0.13561209,-0.09896017,-0.013439035
152245211854128,-0.002443461,-0.09896017,-0.007330383
152245231939051,0.05375614,-0.10751228,0.013439035
152245250984628,-0.02565634,-0.10995574,0.019547688
