timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,event,prediction_float,prediction_binary
152244046957632,-3.6056678,-6.4978633,-4.036624,-0.37751472,0.02321288,0.23579398,,0.25390577,0.0
152244066950401,-3.6343982,-7.716512,-3.8402996,-0.6621779,0.14294247,0.20158553,,0.25390577,0.0
152244087952324,-4.06296,-7.1969705,-4.5034933,-0.6426302,0.18936823,0.13805555,,0.25390577,0.0
152244108976209,-4.4843397,-7.762002,-5.00867,-0.5558874,0.10629055,0.105068825,,0.25390577,0.0
152244126971363,-4.537012,-7.455544,-5.08289,-0.24678956,0.0061086523,0.037873644,,0.25390577,0.0
152244146967363,-4.345476,-6.9767036,-4.7165775,-0.14538592,-0.039095376,-0.0061086523,,0.25390577,0.0
152244166965093,-4.465186,-7.192182,-4.7022123,-0.118507855,-0.030543262,-0.06841691,,0.25390577,0.0
152244186965824,-4.3981485,-7.40766,-4.5872903,-0.13561209,-0.018325957,-0.062308256,,0.25390577,0.0
152244206964939,-4.4460325,-7.192182,-4.560954,-0.13927728,-0.043982297,-0.0720821,,0.25390577,0.0
152244226996208,-4.357447,-7.3190746,-4.6495395,-0.27488935,-0.019547688,-0.08307768,,0.25390577,0.0
152244248091747,-4.209007,-7.338228,-4.5633483,-0.4569272,0.018325957,-0.04642576,,0.25390577,0.0
152244268188593,-4.537012,-7.6853876,-4.8362875,-0.49968776,0.032986723,-0.035430185,,0.25390577,0.0
152244287270016,-4.5178585,-8.145074,-4.570531,-0.07574729,0.018325957,-0.04153884,,0.25390577,0.0
152244307349400,-4.5274353,-7.9990277,-4.6471453,0.25411993,-0.080634214,0.030543262,,0.25390577,0.0
152244327430400,-4.132392,-7.548918,-4.185065,0.34697145,-0.02687807,0.065973446,,0.25390577,0.0
152244347506516,-4.1635165,-7.4507556,-4.096479,0.29932398,0.05131268,0.07086037,,0.25390577,0.0
152244367600746,-4.0916905,-7.740454,-4.525041,0.1966986,0.12461651,0.05497787,,0.25390577,0.0
152244387689977,-4.390966,-7.9870567,-4.8362875,0.45937067,0.087964594,0.013439035,,0.25390577,0.0
152244408789015,-4.247314,-7.587225,-5.068525,0.57910025,-0.018325957,0.042760566,,0.25390577,0.0
152244429900208,-4.1276035,-7.2927384,-4.6232033,0.41050145,-0.030543262,0.018325957,,0.25390577,0.0
152244447959515,-4.197036,-7.4723034,-4.271256,0.22113322,0.007330383,0.0061086523,,0.25390577,0.0
152244468041977,-4.3239284,-7.606379,-4.345476,-0.012217305,0.09285152,0.039095376,,0.25390577,0.0
152244488117515,-4.5418005,-7.872135,-4.697424,0.02076942,0.10751228,0.014660766,,0.25390577,0.0
152244508199015,-4.450821,-7.3071036,-5.121197,-0.012217305,0.080634214,0.008552114,,0.25390577,0.0
152244528280092,-4.429273,-7.1634517,-5.279215,-0.1441642,0.036651913,-0.017104227,,0.25390577,0.0
152244548354092,-4.4843397,-7.3525934,-4.951209,-0.12217305,-0.047647487,-0.06963864,,0.25390577,0.0
152244569444092,-4.27365,-7.7691846,-4.321534,-0.02565634,-0.10262536,-0.05375614,,0.25390577,0.0
152244589527092,-4.3143516,-7.809886,-4.2066126,-0.030543262,-0.057421334,0.009773844,,0.25390577,0.0
152244608603515,-4.4603977,-7.9487495,-4.1012673,-0.09285152,-0.010995574,0.04642576,,0.25390577,0.0
152244628693938,-4.4460325,-7.9032598,-4.1683054,-0.07819075,-0.028099801,0.09773844,,0.25390577,0.0
152244648775514,-4.309563,-7.589619,-4.2066126,0.030543262,-0.002443461,0.06963864,,0.25390577,0.0
152244668848091,-4.522647,-7.393295,-4.4556093,0.008552114,-0.018325957,0.047647487,,0.25390577,0.0
152244688923860,-4.122815,-6.7253127,-4.378995,-0.040317107,0.037873644,0.039095376,,0.25390577,0.0
152244709013283,-4.357447,-7.639898,-4.939238,0.065973446,0.047647487,0.004886922,,0.25390577,0.0
152244730080745,-4.0892963,-7.541735,-4.5561657,0.41905355,-0.039095376,-0.058643065,,0.25390577,0.0
